id,titulo
29280,4.1.3.3. Número de explotaciones según forma jurídica del titular
29278,4.1.3.4. Distribución general de la superficie
29279,4.1.3.5. Número y SAU de las explotaciones según régimen tenencia
29281,4.1.3.6. Aprovechamiento de las tierras labradas
29282,4.1.3.7. Aprovechamiento de las tierras labradas. Cultivos herbáceos
29284,4.1.3.8. Aprovechamiento de las tierras labradas. Cultivos Leñosos
29285,4.1.3.9. Superficie regable
29286,4.1.3.10. Producción ecológica
29288,4.1.3.11. Distribución de las explotaciones de agricultura ecológica certificada: Número de explotaciones
29290,4.1.3.12. Distribución de las explotaciones de agricultura ecológica certificada: Superficie
29291,4.1.3.13. Titulares persona física por sexo
29292,4.1.3.14. Titulares persona física por edad del titular
29293,4.1.3.15. Unidades de trabajo año en la explotación
29300,4.1.3.16. Ganadería: Número de explotaciones
29301,4.1.3.17. Ganadería:Número de cabezas
29302,4.1.3.18. Ganadería: Unidades ganaderas
29303,4.1.3.19. Ganadería de producción ecológica
1962,4.1.4.1. Superficie de las explotaciones agrarias (1999)
1964,4.1.4.2. Distribución de la superficie de las explotaciones agrarias (1999)
1966,4.1.4.3. Superficie de tierras labradas por aprovechamiento (1999)
1960,"4.1.4.4. Superficie de las explotaciones agrarias por aprovechamiento (1982, 1989)"
1968,"4.1.4.5. Superficie de las explotaciones agrarias por régimen de tenencia (1982, 1989, 1999)"
1971,"4.1.4.6. S.A.U. de explotaciones agrarias por régimen de tenencia (1982, 1989, 1999)"
1980,"4.1.4.7. Explotaciones agrarias con SAU por tamaño de SAU (1982, 1989, 1999)"
1982,"4.1.4.8. Explotaciones agrarias por tamaño de explotación (1982, 1989, 1999)"
1984,"4.1.4.9. Explotaciones agrarias por soporte territorial (1982, 1989, 1999)"
1986,4.1.4.10. Explotaciones con agricultura ecológica (1999)
1988,"4.1.4.11. Máquinas por tipo (1982, 1989, 1999)"
1993,"4.1.4.12.  Titulares de explotaciones agrícolas por edad (1982, 1989, 1999)"
1995,"4.1.4.13. Empresarios por ocupación principal (1989, 1999)"
